OrderID,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition1,Condition2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior1st,Exterior2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type1,BsmtFin_SF1,BsmtFin_Type2,BsmtFin_SF2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,ThreeSsn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,SalePrice,Lot_Area_scaled,Gr_Liv_Area_scaled,SalePrice_scaled,Lot_Area_z,Gr_Liv_Area_z,SalePrice_z,MS_Zoning_RL,MS_Zoning_RM,MS_Zoning_C,MS_Zoning_FV,MS_Zoning_RH,Street_Pave,Street_Grvl,Alley_Grvl,Alley_Pave,Alley_None,ExterQual_encoded,Exter_Qual_encoded,Exter_Cond_encoded,Bsmt_Qual_encoded,Bsmt_Cond_encoded,Kitchen_Qual_encoded,Heating_QC_encoded,Fireplace_Qu_encoded,Garage_Qual_encoded,Garage_Cond_encoded,Pool_QC_encoded,TotalSF,TotalBathrooms,HasGarage,HasBasement,HasFireplace,Age,RemodAge,MSZoning_RL,MSZoning_RM,MSZoning_C,MSZoning_FV,MSZoning_RH
16,526301100,20,RL,141,31770,Pave,NULL,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,Y,SBrkr,1656,0,0,1656,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960,Fin,2,528,TA,TA,P,210,62,0,0,0,0,NULL,NULL,NULL,0,5,2010,WD,Normal,215000,0.957061,0.433099,0.387776,4.7534,0.337452,0.460122,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,4,3,2,4,3,3,0,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL
17,526350040,20,RH,80,11622,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,882,GasA,TA,Y,SBrkr,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,0,NULL,Attchd,1961,Unf,1,730,TA,TA,Y,140,0,0,0,120,0,NULL,MnPrv,NULL,0,6,2010,WD,Normal,105000,0.316221,0.0985916,0.109891,0.383139,-1.25122,-0.989933,0,0,0,0,1,1,0,0,0,1,NULL,3,3,3,3,3,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL
18,526351010,20,RL,81,14267,Pave,NULL,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,"Wd Sdng","Wd Sdng",BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,1329,GasA,TA,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,0,NULL,Attchd,1958,Unf,1,312,TA,TA,Y,393,36,0,0,0,0,NULL,NULL,Gar2,12500,6,2010,WD,Normal,172000,0.40035,0.289173,0.279148,0.956861,-0.346096,-0.106717,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,4,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL
19,526353030,20,RL,93,11160,Pave,NULL,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,NULL,0,Gd,TA,CBlock,TA,TA,No,ALQ,1065,Unf,0,1045,2110,GasA,Ex,Y,SBrkr,2110,0,0,2110,1,0,2,1,3,1,Ex,8,Typ,2,TA,Attchd,1968,Fin,2,522,TA,TA,Y,0,0,0,0,0,0,NULL,NULL,NULL,0,4,2010,WD,Normal,244000,0.301527,0.632923,0.461037,0.282928,1.28648,0.84241,1,0,0,0,0,1,0,0,0,1,NULL,4,3,3,3,5,5,3,3,3,0,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL
20,527105010,60,RL,74,13830,Pave,NULL,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,928,GasA,Gd,Y,SBrkr,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,482,TA,TA,Y,212,34,0,0,0,0,NULL,MnPrv,NULL,0,3,2010,WD,Normal,189900,0.38645,0.421215,0.324368,0.862072,0.281012,0.129246,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,3,4,3,3,3,0,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL
21,527105030,60,RL,78,9978,Pave,NULL,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,0,324,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,470,TA,TA,Y,360,36,0,0,0,0,NULL,NULL,NULL,0,6,2010,WD,Normal,195500,0.263931,0.410211,0.338515,0.0265427,0.228753,0.203067,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,4,5,4,3,3,0,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
22,527127150,120,RL,41,4920,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,NULL,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616,Unf,0,722,1338,GasA,Ex,Y,SBrkr,1338,0,0,1338,1,0,2,0,2,1,Gd,6,Typ,0,NULL,Attchd,2001,Fin,2,582,TA,TA,Y,0,0,170,0,0,0,NULL,NULL,NULL,0,4,2010,WD,Normal,213500,0.103053,0.293134,0.383987,-1.07058,-0.327283,0.440349,1,0,0,0,0,1,0,0,0,1,NULL,4,3,4,3,4,5,0,3,3,0,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
23,527145080,120,RL,43,5005,Pave,NULL,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,NULL,0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,0,1017,1280,GasA,Ex,Y,SBrkr,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,0,NULL,Attchd,1992,RFn,2,506,TA,TA,Y,0,82,0,0,144,0,NULL,NULL,NULL,0,1,2010,WD,Normal,191500,0.105757,0.267606,0.32841,-1.05214,-0.448524,0.150338,1,0,0,0,0,1,0,0,0,1,NULL,4,3,4,3,4,5,0,3,3,0,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
24,527146030,120,RL,39,5389,Pave,NULL,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,NULL,0,Gd,TA,PConc,Gd,TA,No,GLQ,1180,Unf,0,415,1595,GasA,Ex,Y,SBrkr,1616,0,0,1616,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1995,RFn,2,608,TA,TA,Y,237,152,0,0,0,0,NULL,NULL,NULL,0,3,2010,WD,Normal,236500,0.117971,0.415493,0.44209,-0.968847,0.253838,0.743542,1,0,0,0,0,1,0,0,0,1,NULL,4,3,4,3,4,5,3,3,3,0,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL
25,527162130,60,RL,60,7500,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,994,994,GasA,Gd,Y,SBrkr,1028,776,0,1804,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1999,Fin,2,442,TA,TA,Y,140,60,0,0,0,0,NULL,NULL,NULL,0,6,2010,WD,Normal,189000,0.185115,0.498239,0.322094,-0.510955,0.646826,0.117382,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,4,4,3,3,3,0,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL
26,527163010,60,RL,75,10000,Pave,NULL,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,NULL,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,763,763,GasA,Gd,Y,SBrkr,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2,440,TA,TA,Y,157,84,0,0,0,0,NULL,NULL,NULL,0,4,2010,WD,Normal,175900,0.264631,0.432658,0.289001,0.0313147,0.335362,-0.0553064,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,3,4,3,3,3,0,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
27,527165230,20,RL,68,7980,Pave,NULL,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,NULL,0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,0,233,1168,GasA,Ex,Y,SBrkr,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,0,NULL,Attchd,1992,Fin,2,420,TA,TA,Y,483,21,0,0,0,0,NULL,GdPrv,Shed,500,3,2010,WD,Normal,185000,0.200382,0.226673,0.311989,-0.406839,-0.642928,0.0646527,1,0,0,0,0,1,0,0,0,1,NULL,3,4,4,3,3,5,0,3,3,0,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
28,527166040,60,RL,63,8402,Pave,NULL,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,789,789,GasA,Gd,Y,SBrkr,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2,393,TA,TA,Y,0,75,0,0,0,0,NULL,NULL,NULL,0,5,2010,WD,Normal,180400,0.213804,0.349032,0.300369,-0.315304,-0.061807,0.004014,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,3,4,4,3,3,0,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
29,527180040,20,RL,85,10176,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,NULL,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Y,SBrkr,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990,Unf,2,506,TA,TA,Y,192,0,0,0,0,0,NULL,NULL,NULL,0,2,2010,WD,Normal,171500,0.270229,0.294454,0.277885,0.0694905,-0.321012,-0.113309,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,4,4,1,3,3,0,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
30,527182190,120,RL,68,6820,Pave,NULL,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,NULL,0,Gd,TA,PConc,Gd,TA,Av,GLQ,368,BLQ,1120,0,1488,GasA,TA,Y,SBrkr,1502,0,0,1502,1,0,1,1,1,1,Gd,4,Typ,0,NULL,Attchd,1985,RFn,2,528,TA,TA,Y,0,54,0,0,140,0,NULL,NULL,NULL,0,6,2010,WD,Normal,212000,0.163486,0.365317,0.380197,-0.658452,0.0155364,0.420575,1,0,0,0,0,1,0,0,0,1,NULL,4,3,4,3,4,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL
31,527216070,60,RL,47,33120,Pave,NULL,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,"Wd Shng",BrkFace,603,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416,Unf,0,234,1650,GasA,Ex,Y,SBrkr,1690,1589,0,2944,1,0,3,1,4,1,Ex,12,Mod,1,Gd,BuiltIn,2003,Fin,3,841,TA,TA,Y,503,36,0,0,210,0,NULL,NULL,NULL,0,6,2010,WD,Normal,457347,1,1,1,5.04622,3.02984,3.65482,1,0,0,0,0,1,0,0,0,1,NULL,5,3,4,3,5,5,4,3,3,0,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL
32,527225035,50,RL,152,12134,Pave,NULL,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,"Wd Sdng","Wd Sdng",NULL,0,Gd,TA,Wood,Gd,TA,Av,GLQ,427,Unf,0,132,559,GasA,Gd,Y,SBrkr,1080,672,0,1752,0,0,2,0,4,1,TA,8,Typ,0,NULL,Basment,1988,RFn,2,492,TA,TA,Y,325,12,0,0,0,0,NULL,NULL,NULL,0,6,2010,WD,Normal,164000,0.332506,0.475352,0.258938,0.494196,0.538127,-0.212176,1,0,0,0,0,1,0,0,0,1,NULL,4,3,4,3,3,4,0,3,3,0,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
33,527258010,20,RL,88,11394,Pave,NULL,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,Y,SBrkr,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010,Fin,3,834,TA,TA,Y,113,0,0,0,0,0,NULL,NULL,NULL,0,6,2010,New,Partial,394432,0.308969,0.521127,0.841062,0.333684,0.755525,2.82545,1,0,0,0,0,1,0,0,0,1,NULL,4,3,5,3,5,5,5,3,3,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
34,527276150,20,RL,140,19138,Pave,NULL,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,GasA,Ex,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,NULL,Detchd,1951,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,NULL,NULL,NULL,0,6,2010,WD,Normal,141000,0.55528,0.084507,0.200835,2.01342,-1.31811,-0.515369,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,5,0,3,3,0,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL
35,527302110,20,RL,85,13175,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,TA,TA,CBlock,Gd,TA,No,ALQ,790,Rec,163,589,1542,GasA,TA,Y,SBrkr,2073,0,0,2073,1,0,2,0,3,1,TA,7,Min1,2,TA,Attchd,1978,Unf,2,500,TA,TA,Y,349,0,0,0,0,0,NULL,MnPrv,NULL,0,2,2010,WD,Normal,210000,0.365617,0.616637,0.375145,0.719997,1.20913,0.394211,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,3,3,3,3,3,0,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL
36,527358140,20,RL,105,11751,Pave,NULL,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,TA,TA,CBlock,Gd,TA,No,BLQ,705,Unf,0,1139,1844,GasA,Ex,Y,SBrkr,1844,0,0,1844,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,546,TA,TA,Y,0,122,0,0,0,0,NULL,MnPrv,NULL,0,1,2010,COD,Normal,190000,0.320324,0.515845,0.32462,0.41112,0.73044,0.130564,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,3,5,3,3,3,0,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL
37,527358200,85,RL,85,10625,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,TA,TA,CBlock,Gd,TA,Gd,GLQ,885,LwQ,168,0,1053,GasA,TA,Y,SBrkr,1173,0,0,1173,1,0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1974,RFn,2,528,TA,TA,Y,0,120,0,0,0,0,NULL,MnPrv,NULL,0,1,2010,WD,Family,170000,0.28451,0.220511,0.274096,0.166882,-0.672193,-0.133082,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,4,3,3,3,3,0,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL
38,527368020,60,FV,68,7500,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,NULL,0,Gd,TA,PConc,Gd,TA,No,GLQ,533,Unf,0,281,814,GasA,Ex,Y,SBrkr,814,860,0,1674,1,0,2,1,3,1,Gd,7,Typ,0,NULL,Attchd,2000,RFn,2,663,TA,TA,Y,0,96,0,0,0,0,NULL,NULL,NULL,0,1,2010,WD,Normal,216000,0.185115,0.441021,0.390302,-0.510955,0.375079,0.473305,0,0,0,1,0,1,0,0,0,1,NULL,4,3,4,3,4,5,0,3,3,0,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
39,527402200,20,RL,68,11241,Pave,NULL,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,"Wd Sdng","Wd Sdng",BrkFace,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NULL,NULL,Shed,700,3,2010,WD,Normal,149000,0.304103,0.146127,0.221045,0.300497,-1.02546,-0.409911,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,5,3,3,3,0,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL
40,527402250,20,RL,68,12537,Pave,NULL,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,CBlock,TA,TA,No,GLQ,734,Unf,0,344,1078,GasA,Ex,Y,SBrkr,1078,0,0,1078,1,0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1971,Fin,2,500,TA,TA,Y,0,0,0,0,0,0,NULL,NULL,NULL,0,4,2010,WD,Normal,149900,0.345324,0.178697,0.223319,0.58161,-0.870777,-0.398047,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,5,2,3,3,0,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
41,527403020,20,RL,65,8450,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,NULL,0,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,0,281,1056,GasA,Ex,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968,Unf,1,304,TA,TA,Y,0,85,184,0,0,0,NULL,NULL,NULL,0,7,2010,WD,Normal,142000,0.215331,0.169014,0.203361,-0.304893,-0.916765,-0.502187,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,5,2,3,3,0,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL
42,527404120,20,RL,70,8400,Pave,NULL,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,NULL,0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,0,882,GasA,TA,Y,SBrkr,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,0,NULL,Attchd,1970,Fin,2,525,TA,TA,Y,240,0,0,0,0,0,NULL,MnPrv,NULL,0,4,2010,WD,Normal,126000,0.21374,0.0924296,0.162942,-0.315738,-1.28049,-0.713104,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL
43,527425090,20,RL,70,10500,Pave,NULL,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,NULL,0,TA,TA,CBlock,TA,TA,No,ALQ,432,Unf,0,432,864,GasA,TA,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,NULL,NULL,NULL,0,0,NULL,NULL,Y,0,0,0,0,0,0,NULL,NULL,NULL,0,4,2010,ConLI,Normal,115000,0.280534,0.084507,0.135153,0.139769,-1.31811,-0.85811,1,0,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,3,1,0,0,0,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
44,527427230,120,RH,26,5858,Pave,NULL,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,NULL,0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,0,354,1405,GasA,Ex,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999,Fin,2,511,TA,TA,Y,203,68,0,0,0,0,NULL,NULL,NULL,0,6,2010,WD,Normal,184000,0.132888,0.292694,0.309463,-0.867118,-0.329373,0.0514704,0,0,0,0,1,1,0,0,0,1,NULL,4,3,4,3,4,5,2,3,3,0,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL
45,527451180,160,RM,21,1680,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,0,327,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,0,NULL,Detchd,1971,Unf,1,264,TA,TA,Y,275,0,0,0,0,0,NULL,NULL,NULL,0,2,2010,COD,Normal,96000,0,0.138644,0.0871549,-1.77336,-1.061,-1.10857,0,1,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
46,527451330,160,RM,21,1680,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,225,525,GasA,TA,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,0,NULL,Detchd,1997,Unf,1,320,TA,TA,Y,0,0,0,0,0,0,NULL,NULL,NULL,0,3,2010,WD,Normal,105500,0,0.184859,0.111154,-1.77336,-0.841512,-0.983342,0,1,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
47,527451410,160,RM,21,1680,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,525,525,GasA,TA,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,0,NULL,Detchd,1971,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,NULL,NULL,NULL,0,3,2010,WD,Family,88000,0,0.184859,0.0669451,-1.77336,-0.841512,-1.21403,0,1,0,0,0,1,0,0,0,1,NULL,3,3,3,3,3,3,0,3,3,0,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
48,527452190,120,RL,53,4043,Pave,NULL,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,NULL,0,TA,TA,CBlock,Gd,TA,No,ALQ,360,Unf,0,709,1069,GasA,TA,Y,SBrkr,1069,0,0,1069,0,0,2,0,2,1,TA,4,Typ,1,Fa,Attchd,1977,RFn,2,440,TA,TA,Y,0,55,0,0,165,0,NULL,NULL,NULL,0,7,2010,WD,Normal,127500,0.075159,0.174736,0.166731,-1.26081,-0.889591,-0.693331,1,0,0,0,0,1,0,0,0,1,NULL,3,3,4,3,3,3,2,3,3,0,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL
